Date,Close,High,Low,Open,Volume
2021-01-04,13.076018333435059,13.613478260876672,12.925449902304845,13.066795083910115,560640000
2021-01-05,13.366436004638672,13.405074943901147,13.049594230220292,13.062307460654432,322760000
2021-01-06,12.578444480895996,13.207142186008463,12.55002633699992,13.184706458898969,580424000
2021-01-07,13.305858612060547,13.339512676724356,12.849666782088335,12.930434635384632,461480000
2021-01-08,13.238800048828125,13.382637648539365,13.00472125127349,13.324305523719442,292528000
2021-01-11,13.582566261291504,13.921096308910437,13.324306724946876,13.380395567585643,518344000
2021-01-12,13.446207046508789,13.71518662773532,13.30685695821669,13.713191537825285,291476000
2021-01-13,13.493071556091309,13.586055290946524,13.346741517718936,13.451440936900354,210028000
2021-01-14,13.162519454956055,13.56087745931454,13.142826263852895,13.536198445576108,283120000
2021-01-15,12.822745323181152,13.287163872887445,12.81177708254526,13.190191844917592,277780000
2021-01-19,12.988019943237305,13.056572862335285,12.807287445364308,12.979044892252457,226188000
2021-01-20,13.327548027038574,13.392112675663085,13.019431202517943,13.074273353645776,258572000
2021-01-21,13.827864646911621,13.959238189663656,13.215120946062724,13.380147607196607,337780000
2021-01-22,13.67330551147461,13.802186604239331,13.588299278392899,13.700727061039379,246820000
2021-01-25,13.614225387573242,13.788974533130535,13.198666607439788,13.742358087685238,251112000
2021-01-26,13.39684772491455,13.605748262959864,13.34923373913582,13.541681919123254,163980000
2021-01-27,12.880829811096191,13.194929083249145,12.757183670871319,13.192186547498755,371272000
2021-01-28,13.01369857788086,13.301623948118564,12.923457357662423,12.959105568570454,228316000
2021-01-29,12.952619552612305,13.296633658801358,12.874593293619666,13.037625772129568,271552000
2021-02-01,13.199167251586914,13.232820370910638,12.865872136369923,13.01594228284471,217204000
2021-02-02,13.5180025100708,13.533208177107893,13.247527071774433,13.360454111923822,220440000
2021-02-03,13.491827011108398,13.89193002868741,13.477867087311907,13.597024736589539,245408000
2021-02-04,13.62519359588623,13.634416844530163,13.299626897697083,13.492324230974786,201340000
2021-02-05,13.552151679992676,13.697984368062173,13.507031081489062,13.685769436183508,169152000
2021-02-08,14.397480010986328,14.432379818392382,13.688013522894353,13.688013522894353,434624000
2021-02-09,14.222482681274414,14.541567742930555,14.181848652102182,14.299760559735732,287560000
2021-02-10,14.7220458984375,14.862393493280608,14.30050481704126,14.42190667051108,485352000
2021-02-11,15.207159996032715,15.228599130658681,14.882341653535708,14.937433905716711,450828000
2021-02-12,14.918486595153809,15.247543280777698,14.732768268450995,15.006982807103192,374756000
2021-02-16,15.286431312561035,15.328561180758324,14.907268204475995,15.021191826127696,321960000
2021-02-17,14.863393783569336,15.179986376068083,14.737753530677445,15.127635715976565,274756000
2021-02-18,14.786613464355469,14.830736516708235,14.533338832562045,14.686898922585039,233868000
